scene_num,gloss_cat,specular_magnitude,specular_concentration,bump_height,albedo_r,albedo_g,albedo_b,camera_x,camera_z,rot_camera,skybox
scene008166,0,0.129,0.239,098.41,0.373,0.679,0.588,07.27,-001.6,071.6,GareoultWhiteBalanced (UnityEngine.Material)
scene008167,1,0.409,0.766,011.74,0.613,0.676,0.469,-05.85,-003.2,-112.7,GareoultWhiteBalanced (UnityEngine.Material)
scene008168,1,0.308,0.908,011.24,0.373,0.644,0.531,-09.52,-009.6,-114.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008169,0,0.124,0.371,051.48,0.480,0.561,0.637,-00.92,005.0,-019.5,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008170,1,0.423,0.907,015.19,0.445,0.468,0.331,-01.00,-005.5,176.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008171,0,0.277,0.234,025.36,0.355,0.627,0.497,-09.55,-009.2,166.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008172,0,0.176,0.365,023.48,0.337,0.610,0.576,-01.05,009.0,-069.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008173,0,0.116,0.290,029.06,0.464,0.583,0.469,02.10,-008.8,083.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008174,1,0.487,0.949,089.38,0.690,0.419,0.539,08.66,001.0,-166.8,GareoultWhiteBalanced (UnityEngine.Material)
scene008175,0,0.211,0.317,016.39,0.342,0.518,0.534,-01.96,001.0,-056.9,UniteWhiteBalanced (UnityEngine.Material)
scene008176,0,0.173,0.347,076.43,0.328,0.649,0.693,04.64,002.4,166.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008177,1,0.416,0.835,005.36,0.381,0.476,0.324,07.77,-001.3,-027.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008178,0,0.136,0.381,080.41,0.323,0.543,0.672,-01.49,-007.0,-114.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008179,0,0.127,0.261,036.40,0.496,0.377,0.540,01.51,-004.0,165.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008180,0,0.141,0.228,018.55,0.465,0.359,0.538,09.00,-007.7,019.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008181,1,0.460,0.782,004.28,0.491,0.307,0.590,04.88,-002.5,157.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008182,1,0.475,0.922,089.70,0.464,0.420,0.591,08.41,-009.1,176.2,GareoultWhiteBalanced (UnityEngine.Material)
scene008183,1,0.443,0.875,064.96,0.387,0.409,0.471,04.53,004.9,076.2,UniteWhiteBalanced (UnityEngine.Material)
scene008184,1,0.484,0.813,070.93,0.517,0.654,0.610,-03.79,007.6,177.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008185,1,0.458,0.755,074.94,0.353,0.416,0.598,-06.20,-000.5,-092.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008186,0,0.151,0.211,079.65,0.424,0.355,0.484,04.51,-008.2,163.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008187,0,0.154,0.274,041.73,0.484,0.606,0.603,02.05,009.2,153.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008188,0,0.166,0.347,035.08,0.572,0.348,0.368,-01.25,-007.0,054.5,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008189,1,0.324,0.851,029.09,0.642,0.385,0.643,-08.71,-007.4,115.0,UniteWhiteBalanced (UnityEngine.Material)
scene008190,0,0.153,0.377,098.21,0.487,0.609,0.405,-03.49,005.8,-140.4,GareoultWhiteBalanced (UnityEngine.Material)
scene008191,0,0.262,0.251,008.25,0.328,0.389,0.368,-00.91,002.5,170.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008192,1,0.485,0.803,023.47,0.585,0.310,0.480,-03.72,-001.6,-054.6,GareoultWhiteBalanced (UnityEngine.Material)
scene008193,1,0.448,0.828,063.05,0.495,0.591,0.656,-01.68,004.0,-024.7,UniteWhiteBalanced (UnityEngine.Material)
scene008194,0,0.125,0.219,013.98,0.502,0.352,0.522,-05.61,-002.0,013.0,UniteWhiteBalanced (UnityEngine.Material)
scene008195,1,0.482,0.847,032.13,0.565,0.381,0.314,02.60,-000.5,-066.5,UniteWhiteBalanced (UnityEngine.Material)
scene008196,0,0.272,0.218,081.32,0.389,0.694,0.482,-02.91,008.1,052.2,GareoultWhiteBalanced (UnityEngine.Material)
scene008197,1,0.354,0.866,076.46,0.600,0.555,0.681,-07.59,007.4,-158.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008198,1,0.359,0.852,010.14,0.671,0.654,0.625,05.02,001.7,-046.4,UniteWhiteBalanced (UnityEngine.Material)
scene008199,1,0.403,0.826,095.49,0.523,0.416,0.621,06.37,-000.2,088.0,UniteWhiteBalanced (UnityEngine.Material)
scene008200,0,0.259,0.237,079.41,0.412,0.313,0.503,05.08,001.3,072.0,UniteWhiteBalanced (UnityEngine.Material)
scene008201,0,0.165,0.355,027.47,0.412,0.471,0.456,-09.72,002.3,-164.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008202,1,0.489,0.775,064.48,0.321,0.320,0.662,-02.58,009.5,-014.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008203,1,0.422,0.873,092.53,0.420,0.567,0.431,-04.07,-007.0,031.5,UniteWhiteBalanced (UnityEngine.Material)
scene008204,0,0.287,0.376,024.07,0.496,0.592,0.674,-09.97,-005.1,-129.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008205,0,0.185,0.213,054.07,0.546,0.680,0.370,-05.99,-004.3,-107.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008206,1,0.495,0.923,095.35,0.597,0.676,0.315,09.20,008.7,132.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008207,0,0.186,0.367,032.35,0.420,0.441,0.301,-02.97,-005.5,-013.9,UniteWhiteBalanced (UnityEngine.Material)
scene008208,0,0.186,0.316,016.56,0.411,0.476,0.364,-01.36,008.6,-058.1,UniteWhiteBalanced (UnityEngine.Material)
scene008209,0,0.209,0.254,013.00,0.487,0.372,0.697,02.25,-004.1,150.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008210,1,0.370,0.918,096.05,0.476,0.336,0.446,07.83,008.4,110.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008211,1,0.478,0.818,054.82,0.437,0.692,0.660,-00.24,003.3,160.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008212,0,0.112,0.373,009.77,0.613,0.622,0.679,-04.74,000.1,-106.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008213,1,0.411,0.772,074.74,0.602,0.476,0.492,-06.76,008.6,134.6,UniteWhiteBalanced (UnityEngine.Material)
scene008214,0,0.159,0.387,078.80,0.504,0.422,0.579,-03.29,004.4,001.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008215,0,0.198,0.272,089.37,0.313,0.453,0.440,02.30,003.7,177.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008216,1,0.399,0.819,061.60,0.578,0.568,0.405,06.87,-000.6,022.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008217,1,0.407,0.845,017.74,0.302,0.531,0.441,-06.58,002.9,-083.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008218,0,0.298,0.218,046.50,0.522,0.506,0.569,-08.21,006.4,054.7,GareoultWhiteBalanced (UnityEngine.Material)
scene008219,0,0.176,0.222,037.40,0.681,0.408,0.578,05.18,-004.9,084.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008220,0,0.170,0.204,023.03,0.325,0.325,0.629,-03.96,002.1,129.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008221,1,0.428,0.828,074.82,0.595,0.494,0.643,-03.54,005.3,-157.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008222,0,0.274,0.373,069.87,0.486,0.469,0.395,-01.43,006.2,-054.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008223,0,0.257,0.398,049.51,0.447,0.392,0.531,06.56,-009.3,-075.2,GareoultWhiteBalanced (UnityEngine.Material)
scene008224,0,0.199,0.352,084.47,0.681,0.603,0.635,-07.80,-006.9,-010.5,GareoultWhiteBalanced (UnityEngine.Material)
scene008225,0,0.109,0.306,086.26,0.395,0.467,0.481,01.12,-009.0,117.8,UniteWhiteBalanced (UnityEngine.Material)
scene008226,0,0.179,0.309,095.02,0.398,0.553,0.500,-08.77,006.0,-153.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008227,1,0.407,0.836,024.19,0.600,0.538,0.340,04.96,003.9,-154.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008228,1,0.415,0.826,099.07,0.366,0.492,0.698,-05.29,009.4,-029.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008229,1,0.467,0.898,053.63,0.321,0.696,0.617,-03.43,-001.1,-014.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008230,0,0.146,0.296,018.72,0.432,0.362,0.528,-09.56,006.7,-166.9,GareoultWhiteBalanced (UnityEngine.Material)
scene008231,0,0.113,0.298,060.29,0.357,0.557,0.651,02.47,005.0,-043.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008232,0,0.282,0.320,075.11,0.595,0.423,0.439,06.23,007.5,-026.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008233,1,0.498,0.800,065.58,0.457,0.452,0.392,-01.54,001.6,-078.9,GareoultWhiteBalanced (UnityEngine.Material)
scene008234,1,0.326,0.832,088.23,0.340,0.545,0.340,06.99,-003.8,155.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008235,1,0.362,0.897,048.54,0.419,0.392,0.396,-03.57,-001.2,115.1,UniteWhiteBalanced (UnityEngine.Material)
scene008236,0,0.250,0.200,072.93,0.536,0.554,0.488,07.37,-004.0,126.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008237,0,0.106,0.223,077.71,0.565,0.685,0.631,-09.05,001.5,-106.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008238,0,0.103,0.342,006.26,0.354,0.609,0.542,-06.26,001.7,-136.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008239,0,0.106,0.387,059.94,0.574,0.348,0.411,-09.77,001.6,-090.6,GareoultWhiteBalanced (UnityEngine.Material)
scene008240,0,0.166,0.341,037.04,0.331,0.473,0.635,-07.64,003.9,142.2,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008241,0,0.115,0.223,021.17,0.415,0.578,0.484,-07.68,-009.0,091.4,UniteWhiteBalanced (UnityEngine.Material)
scene008242,1,0.421,0.829,087.42,0.637,0.475,0.675,-01.68,-009.1,023.7,UniteWhiteBalanced (UnityEngine.Material)
scene008243,0,0.119,0.334,087.12,0.696,0.574,0.387,09.68,003.5,136.0,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008244,1,0.485,0.844,014.39,0.365,0.620,0.441,01.90,-001.0,-036.2,UniteWhiteBalanced (UnityEngine.Material)
scene008245,1,0.339,0.840,088.83,0.467,0.520,0.416,-06.59,-003.0,-116.2,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008246,0,0.142,0.246,092.63,0.327,0.401,0.696,-03.76,001.4,-179.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008247,0,0.166,0.314,078.31,0.425,0.341,0.360,08.96,008.7,-018.3,UniteWhiteBalanced (UnityEngine.Material)
scene008248,1,0.414,0.889,081.89,0.624,0.341,0.407,04.07,-006.5,-015.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008249,1,0.463,0.826,082.48,0.552,0.579,0.563,05.91,002.3,-100.6,UniteWhiteBalanced (UnityEngine.Material)
scene008250,0,0.256,0.394,006.95,0.342,0.688,0.402,-07.41,008.0,072.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008251,1,0.365,0.811,071.73,0.462,0.325,0.668,08.24,-001.8,-132.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008252,1,0.454,0.926,096.90,0.653,0.346,0.562,03.46,006.0,005.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008253,0,0.204,0.245,069.28,0.536,0.332,0.564,-09.77,-000.1,-142.8,UniteWhiteBalanced (UnityEngine.Material)
scene008254,1,0.306,0.860,017.89,0.331,0.627,0.689,06.23,-006.0,-094.0,GareoultWhiteBalanced (UnityEngine.Material)
scene008255,0,0.230,0.342,023.69,0.595,0.579,0.642,02.59,-001.7,-165.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008256,1,0.337,0.794,097.61,0.437,0.348,0.373,-02.13,-004.9,-043.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008257,0,0.133,0.302,063.64,0.627,0.394,0.376,-05.55,007.4,-146.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008258,1,0.341,0.945,037.33,0.466,0.690,0.368,09.35,009.2,-153.1,GareoultWhiteBalanced (UnityEngine.Material)
scene008259,0,0.296,0.226,005.90,0.625,0.461,0.374,09.00,-006.1,008.7,GareoultWhiteBalanced (UnityEngine.Material)
scene008260,1,0.333,0.892,056.31,0.454,0.622,0.351,-07.45,006.5,-017.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008261,1,0.385,0.882,009.30,0.394,0.325,0.306,-01.19,-005.3,-178.7,GareoultWhiteBalanced (UnityEngine.Material)
scene008262,1,0.316,0.941,067.57,0.313,0.660,0.337,07.12,-001.1,-154.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008263,1,0.356,0.794,094.80,0.661,0.611,0.362,07.57,006.6,-106.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008264,1,0.451,0.917,082.58,0.558,0.588,0.622,00.57,009.4,139.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008265,1,0.365,0.870,090.77,0.477,0.554,0.499,04.11,002.0,-115.7,GareoultWhiteBalanced (UnityEngine.Material)
scene008266,0,0.105,0.246,016.17,0.620,0.378,0.355,-01.79,003.6,-075.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008267,0,0.119,0.251,051.45,0.484,0.405,0.452,04.60,-005.5,074.0,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008268,0,0.229,0.397,026.88,0.397,0.347,0.308,-05.00,-002.0,-065.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008269,1,0.465,0.864,086.72,0.674,0.525,0.662,-01.19,007.8,-096.6,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008270,0,0.238,0.335,039.22,0.434,0.534,0.556,08.15,002.9,132.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008271,1,0.362,0.928,020.06,0.335,0.698,0.376,09.21,007.4,-003.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008272,1,0.331,0.787,059.95,0.544,0.422,0.688,-05.82,-009.1,-002.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008273,0,0.204,0.364,067.06,0.651,0.403,0.426,-04.38,-007.2,142.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008274,1,0.444,0.949,046.28,0.391,0.560,0.371,07.02,008.2,-136.6,UniteWhiteBalanced (UnityEngine.Material)
scene008275,0,0.264,0.276,075.72,0.617,0.352,0.462,-02.70,004.5,-002.9,GareoultWhiteBalanced (UnityEngine.Material)
scene008276,0,0.115,0.387,062.12,0.635,0.698,0.305,00.54,001.2,016.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008277,0,0.290,0.317,062.60,0.641,0.430,0.585,07.36,-004.3,-164.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008278,1,0.490,0.848,099.24,0.445,0.445,0.589,01.19,008.1,-137.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008279,0,0.255,0.300,017.69,0.687,0.372,0.522,-08.59,004.7,138.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008280,1,0.499,0.923,024.29,0.527,0.528,0.608,04.45,-001.0,-171.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008281,0,0.164,0.289,003.55,0.447,0.413,0.583,-02.25,007.5,-074.4,GareoultWhiteBalanced (UnityEngine.Material)
scene008282,1,0.332,0.890,024.09,0.384,0.411,0.351,04.63,006.3,009.2,GareoultWhiteBalanced (UnityEngine.Material)
scene008283,0,0.228,0.247,044.39,0.475,0.688,0.695,-00.69,-009.1,-124.3,GareoultWhiteBalanced (UnityEngine.Material)
scene008284,1,0.476,0.920,013.63,0.698,0.669,0.641,02.57,-000.9,-025.1,UniteWhiteBalanced (UnityEngine.Material)
scene008285,0,0.219,0.379,099.54,0.435,0.587,0.571,01.33,003.0,085.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008286,0,0.119,0.322,011.93,0.622,0.672,0.484,-09.53,007.7,132.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008287,1,0.311,0.793,063.03,0.480,0.426,0.466,08.05,009.8,047.3,UniteWhiteBalanced (UnityEngine.Material)
scene008288,0,0.270,0.279,053.60,0.631,0.698,0.398,00.97,-003.6,-020.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008289,1,0.375,0.827,092.13,0.520,0.649,0.467,01.95,008.7,-143.3,UniteWhiteBalanced (UnityEngine.Material)
scene008290,0,0.263,0.304,099.52,0.435,0.605,0.458,-02.95,-002.5,-054.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008291,1,0.363,0.946,015.13,0.447,0.557,0.549,09.42,009.4,106.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008292,0,0.262,0.231,085.42,0.479,0.506,0.306,00.05,-000.4,141.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008293,1,0.437,0.765,028.72,0.441,0.649,0.650,05.26,-007.3,159.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008294,1,0.475,0.890,033.91,0.639,0.654,0.475,06.82,-002.9,-070.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008295,0,0.220,0.241,004.00,0.678,0.513,0.354,-09.36,008.7,021.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008296,0,0.150,0.312,048.70,0.559,0.494,0.517,-04.33,008.5,003.1,UniteWhiteBalanced (UnityEngine.Material)
scene008297,1,0.337,0.758,016.31,0.328,0.403,0.551,-08.59,-005.7,-065.3,UniteWhiteBalanced (UnityEngine.Material)
scene008298,1,0.353,0.858,074.70,0.483,0.339,0.647,02.76,-004.9,119.9,GareoultWhiteBalanced (UnityEngine.Material)
scene008299,0,0.265,0.268,090.00,0.327,0.665,0.303,06.67,006.6,043.7,UniteWhiteBalanced (UnityEngine.Material)
scene008300,0,0.299,0.332,088.11,0.496,0.556,0.336,-00.78,-000.3,-109.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008301,0,0.185,0.223,062.76,0.671,0.514,0.528,-07.53,-003.8,138.3,UniteWhiteBalanced (UnityEngine.Material)
scene008302,0,0.112,0.240,082.66,0.400,0.661,0.566,09.21,001.0,136.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008303,1,0.336,0.849,056.13,0.453,0.655,0.636,-01.60,008.5,001.0,GareoultWhiteBalanced (UnityEngine.Material)
scene008304,1,0.358,0.761,037.70,0.301,0.508,0.580,08.65,004.8,-136.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008305,0,0.133,0.263,007.33,0.533,0.480,0.527,-01.43,-003.5,113.2,GareoultWhiteBalanced (UnityEngine.Material)
scene008306,1,0.402,0.771,044.66,0.414,0.569,0.393,07.43,000.9,-018.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008307,1,0.415,0.784,036.12,0.447,0.360,0.444,02.89,-003.0,063.5,UniteWhiteBalanced (UnityEngine.Material)
scene008308,1,0.454,0.858,084.34,0.535,0.510,0.628,07.20,-000.1,-076.6,GareoultWhiteBalanced (UnityEngine.Material)
scene008309,0,0.216,0.319,012.03,0.312,0.661,0.475,-06.07,-003.4,033.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008310,1,0.491,0.799,086.16,0.460,0.492,0.319,-05.95,008.1,080.3,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008311,1,0.422,0.867,070.98,0.466,0.596,0.413,-09.04,002.0,-062.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008312,1,0.495,0.919,087.42,0.641,0.592,0.577,-07.18,-007.7,049.4,UniteWhiteBalanced (UnityEngine.Material)
scene008313,0,0.141,0.215,076.18,0.561,0.380,0.700,07.65,-005.6,-103.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008314,1,0.301,0.918,076.03,0.534,0.390,0.482,01.84,-000.7,-076.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008315,0,0.262,0.308,022.86,0.598,0.596,0.647,-08.55,003.5,-141.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008316,0,0.266,0.216,004.11,0.366,0.351,0.378,-07.30,-004.8,133.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008317,1,0.337,0.802,004.31,0.559,0.366,0.505,09.83,000.9,-097.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008318,1,0.331,0.940,091.31,0.377,0.397,0.556,03.39,001.5,-075.9,UniteWhiteBalanced (UnityEngine.Material)
scene008319,0,0.259,0.238,012.17,0.634,0.562,0.336,09.65,-001.4,120.6,GareoultWhiteBalanced (UnityEngine.Material)
scene008320,1,0.449,0.760,065.79,0.329,0.574,0.529,04.32,-006.3,013.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008321,1,0.390,0.761,074.39,0.479,0.315,0.394,-08.88,-009.8,-035.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008322,0,0.158,0.227,012.65,0.493,0.540,0.430,06.14,003.3,-016.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008323,1,0.334,0.828,080.89,0.535,0.525,0.587,-08.09,009.7,-160.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008324,1,0.431,0.944,049.36,0.577,0.451,0.462,08.64,003.8,101.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008325,1,0.409,0.885,034.00,0.457,0.423,0.378,00.25,002.1,-038.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008326,0,0.158,0.367,012.47,0.544,0.481,0.469,06.45,002.0,089.6,GareoultWhiteBalanced (UnityEngine.Material)
scene008327,0,0.128,0.270,003.23,0.651,0.494,0.700,06.20,-009.5,176.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008328,1,0.494,0.855,085.96,0.305,0.680,0.370,-04.45,-008.0,-096.5,UniteWhiteBalanced (UnityEngine.Material)
scene008329,0,0.278,0.229,017.98,0.442,0.391,0.392,-04.00,003.3,144.5,GareoultWhiteBalanced (UnityEngine.Material)
scene008330,0,0.174,0.305,059.80,0.435,0.462,0.548,05.29,007.5,023.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008331,0,0.130,0.319,080.18,0.328,0.465,0.644,06.26,-009.8,056.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008332,0,0.128,0.232,007.90,0.348,0.681,0.321,-06.64,-005.4,133.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008333,0,0.270,0.328,064.62,0.494,0.592,0.518,-03.07,-002.3,-166.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008334,1,0.320,0.914,066.21,0.694,0.405,0.433,-00.90,008.7,002.6,UniteWhiteBalanced (UnityEngine.Material)
scene008335,0,0.235,0.326,059.47,0.486,0.621,0.451,-06.28,-002.2,-109.6,GareoultWhiteBalanced (UnityEngine.Material)
scene008336,1,0.301,0.794,094.54,0.300,0.601,0.409,-00.90,-008.4,033.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008337,1,0.333,0.844,015.06,0.435,0.424,0.393,-06.95,-009.0,-064.3,UniteWhiteBalanced (UnityEngine.Material)
scene008338,0,0.251,0.219,027.48,0.622,0.433,0.660,04.21,006.3,142.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008339,0,0.213,0.278,038.80,0.494,0.353,0.407,09.18,009.3,008.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008340,0,0.288,0.227,004.00,0.399,0.355,0.661,-05.87,004.6,-099.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008341,1,0.341,0.851,088.74,0.664,0.305,0.311,08.39,-008.2,013.9,UniteWhiteBalanced (UnityEngine.Material)
scene008342,0,0.196,0.376,022.38,0.344,0.594,0.604,-04.98,-006.0,-080.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008343,1,0.338,0.812,051.07,0.341,0.643,0.444,09.94,-001.8,091.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008344,1,0.306,0.834,057.53,0.510,0.465,0.511,-06.92,006.9,-148.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008345,0,0.212,0.239,007.13,0.688,0.678,0.662,-03.77,009.4,140.3,GareoultWhiteBalanced (UnityEngine.Material)
scene008346,0,0.272,0.248,037.31,0.632,0.493,0.452,07.81,-002.4,-001.9,UniteWhiteBalanced (UnityEngine.Material)
scene008347,1,0.479,0.839,079.49,0.699,0.547,0.632,04.21,002.5,-091.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008348,1,0.380,0.890,035.65,0.409,0.404,0.444,01.16,-005.8,075.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008349,0,0.220,0.337,086.00,0.530,0.455,0.647,09.19,-003.6,-059.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene008350,1,0.333,0.836,077.94,0.399,0.683,0.572,08.66,004.3,-172.4,UniteWhiteBalanced (UnityEngine.Material)
scene008351,0,0.204,0.234,029.00,0.668,0.567,0.541,04.24,009.1,-142.8,UniteWhiteBalanced (UnityEngine.Material)
scene008352,1,0.423,0.884,092.04,0.543,0.584,0.322,02.99,000.8,153.8,UniteWhiteBalanced (UnityEngine.Material)
scene008353,1,0.349,0.940,086.72,0.553,0.388,0.569,-09.59,003.0,-157.6,GareoultWhiteBalanced (UnityEngine.Material)
scene008354,0,0.198,0.351,062.63,0.309,0.572,0.347,08.98,005.3,136.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene008355,1,0.428,0.904,009.62,0.619,0.534,0.502,-07.75,003.8,-139.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene008356,1,0.394,0.772,016.93,0.606,0.685,0.498,07.26,-006.5,043.2,GareoultWhiteBalanced (UnityEngine.Material)
scene008357,0,0.133,0.302,079.64,0.311,0.675,0.341,09.51,002.6,-082.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008358,0,0.170,0.232,057.50,0.489,0.676,0.355,-05.08,006.7,111.1,GareoultWhiteBalanced (UnityEngine.Material)
scene008359,0,0.272,0.310,023.89,0.547,0.303,0.328,07.26,-009.4,-095.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene008360,1,0.375,0.906,041.25,0.400,0.440,0.447,-04.40,002.2,007.4,GareoultWhiteBalanced (UnityEngine.Material)
scene008361,0,0.161,0.235,016.63,0.597,0.374,0.546,-03.59,-002.7,160.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
